Respondent,Gender,Age,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974753,Male,10,ToM 1 Ball,108590,160,2,1,0,1,0,9200,0,0,0,0,0,0
974754,Male,6,ToM 1 Ball,108394,600,7,1,1,1,2,107985,464,5,0,1,0,2
974755,Female,7,ToM 1 Ball,108469,377,4,1,0,1,0,108469,203,2,0,1,0,1
974756,Male,10,ToM 1 Ball,108390,465,5,1,0,1,0,108112,312,3,1,1,2,2
974757,Male,10,ToM 1 Ball,107942,506,6,1,1,1,2,108043,304,3,1,1,2,2
974758,Male,6,ToM 1 Ball,108426,393,4,1,0,1,0,108584,196,2,0,1,0,1
974759,Male,9,ToM 1 Ball,108453,402,4,1,0,1,0,108520,234,3,0,1,0,2
974760,Female,11,ToM 1 Ball,108458,559,6,1,0,1,0,108670,141,2,0,1,0,1
974761,Male,11,ToM 1 Ball,107922,585,6,1,1,1,2,108466,181,2,0,1,0,1
974762,Female,7,ToM 1 Ball,108395,549,6,1,0,1,0,108098,419,5,1,1,2,2
974763,Male,6,ToM 1 Ball,108473,782,8,1,1,1,2,108577,644,7,1,1,2,3
974764,Male,8,ToM 1 Ball,108469,263,3,1,0,1,0,108469,230,2,0,1,0,1
974765,Male,8,ToM 1 Ball,108452,231,3,1,0,1,0,108452,191,2,0,1,0,1
974766,Male,6,ToM 1 Ball,103754,556,6,1,0,1,0,9200,0,0,0,0,0,0
974767,Male,10,ToM 1 Ball,0,107,1,1,0,0,0,9200,0,0,0,0,0,0
974768,Male,6,ToM 1 Ball,108494,455,5,1,0,1,0,108494,254,3,0,1,0,1
974769,Female,8,ToM 1 Ball,108563,314,3,1,0,1,0,108563,211,2,0,1,0,1
